platform,stock_code,post_id,title,content,author,author_id,publish_time,read_count,comment_count,forward_count,bullish_bearish,has_pic,has_video,url,crawl_time
jiuyan,,4ejtumnjrmy,韭研AI — 实战派投研助手，焕新归来！,我们曾在2023年6月底上线首款试水产品【韭研AI】智能问答。受彼时大模型能力、底层技术发展局限，产品问答体验未能达到预期标准。权衡之下，我们在2024年9月底选择下线迭代。秉承韭研公社为用户研究赋能缩小信息差的初心，我们对信息平权和技术平权高度关注，随着大模型的升级，经多轮打磨、优化和实测，如今全面升级版【韭研AI投研助手】正式上线。 韭研AI投研助手——指定信源筛选后，语料更纯净、回答可溯源、拒绝说胡话。超多惊喜资料和功能，等你体验。更多更全的语料在持续接入中……韭研AI投研助手在PC端先上线体验，APP端即将上线，敬请关注。服务：基于公社实战理解的agent工具包（如：个股新驱动，一查便知全网最新逻辑）聚焦公社内容和官方资讯的AI问答（如：指定信源问，语料更纯净回答更可信）附赠：机构点评又快又全（集全公社分享资源，实测全网遥遥领先）全量实战强关联信息一网打尽（涵盖机构点评、会议纪要、研究报告等）突发驱动监测系统快速进化中（海量高敏信源持续纳入捕捉）面向实战的职业投资者微信群（职业投资者的高质量交流群）使用了韭研AI你会发现：1、以后再也不用混群了，这里全网段子一网打尽，源源不断根本读不完。2、个股新驱动简直是公社异动加强版plus，任何个股、随时可查、全网逻辑无遗漏。3、某个独角兽即将上市，寻找受益股不用再打开XX查，穿透受益股一次全量呈现。4、提问前指定任意信源，AI回答有根有据拒绝瞎编、结论带出处、告别胡说八道。5、以前是徒手肉搏，现在工具平权武装到位，再也不用大刀长矛PK坚船利炮了。…… ……多到小编也数不完，等你来解锁：）订阅价：2499元/年上线初期8折，1999元/年（仅限1个月）首月订阅的早鸟用户，后续一直享受全站最惠价特权（不高于8折，以实际为准）订阅72小时内不满意可联系@公社小助手退费。公司批量订阅享折扣，请联系@公社小助手。怎么用：1、先在web端开放，APP端即将上线。2、登录或注册韭研公社账号。3、进入【AI助手】栏目，填入姓名、所在公司、职务等信息进行登记。4、付费订阅。5、通过审核即可使用。 回馈活动：1、红宝书用户：目前红宝书处于使用中或未来的红宝书用户，均可联系@公社小助手领取与红宝书剩余期限等长的AI助手使用权限。2、公社用户（工分兑换）：全站用户均可联系@公社小助手，66工分兑换AI助手10天体验权限、666工分兑换AI助手100天体验权限，限一人一次。合作接洽：相关投资机构，有API接入需求的请联系@公社小助手。对本AI产品有开发推广等合作意向的请联系@公社小助手。有能力和意向一起参与本AI产品升级迭代的请发送个人简历至jiucaigongshe@126.com。,韭菜团子,,2026-06-22 17:52:53,,,,,,,https://www.jiuyangongshe.com/a/4ejtumnjrmy,2026-07-06 04:09:38
jiuyan,,2z5j63nbex0,【申万计算机】华为昇腾更新：出海+订单新变化0705,【申万计算机】华为昇腾更新：出海+订单新变化0705出海第一站-韩国：根据CNMO科技，华为正计划在26Q4将昇腾950DT、950PR两款芯片以及Atlas 950 SuperPod计算平台Atlas系统推进韩国AI加速器市场，目前已确定分销商合作协议，正在推进技术培训、定价制定和本地化营销相关工作。华为昇腾950系列产品与Deepseek等大模型深度适配，国模+国芯出海即将开始！昇腾超节点中标数据港项目：神州数码7.2发布中标公告，中标杭州瀚融信息技术有限公司（数据港）超节点服务器项目，中标规模7.2亿元。预计后续中标及订单将持续。华为是国产芯片中确定性较高的！建议重视产能、需求、出货节奏看，华为进展都非常顺利，按照节奏进入大厂，并逐步推向全球。华为链标的：华丰科技、杰华特、华正新材、软通动力、航天电器、神州数码、慧博云通！,小橘子学交易,,2026-07-05 23:48:14,,,,,,,https://www.jiuyangongshe.com/a/2z5j63nbex0,2026-07-06 04:09:41
jiuyan,,207lnurhs7c,宇信科技这次真不是蹭概念了，月之暗面这张牌正式明了,"宇信科技昨晚 23:25 互动易正式确认：通过专项基金投资月之暗面。以前是猜测，现在是官宣，""有没有""的问题翻篇了。两层逻辑：一、身份确认本身值钱。Kimi 是国产大模型辨识度最高的一档，宇信从外围蹭概念变成直切股权，这是从 0 到 1 的确认。二、故事能叠加。宇信不是纯概念壳，金融科技基本盘是实的，再叠加月之暗面映射+金融 AI 落地预期，重估逻辑就出来了。最重要的地方在于，宇信科技不是纯概念壳。它本身就是金融科技老底子，有银行IT、有客户场景、有落地土壤。以前市场给它的标签更多还是金融IT，现在如果再叠加一层“月之暗面映射”，整个估值叙事就不是原来那套了。一句话：这票现在最有意思的地方，已经不只是宇信科技四个字，而是它背后开始站上了“月之暗面”这块最有想象力的牌。",金融及时雨,,2026-07-06 11:23:44,,,,,,,https://www.jiuyangongshe.com/a/207lnurhs7c,2026-07-06 04:09:42
jiuyan,,3fmj1rc3l7a,BBU 第一天,蔚蓝锂芯 板城地香江 宏润建设： 中瑞股份： 科技技术： 恭喜您发财！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Mr.J(業精於勤),,2026-07-06 10:19:02,,,,,,,https://www.jiuyangongshe.com/a/3fmj1rc3l7a,2026-07-06 04:09:44
jiuyan,,1hrmk8y7va2,深圳华强：产品全线涨价+华为昇腾总经销,前两天写了个关于深圳华强业绩的帖子：深圳华强中报大概率暴增 今天早上临开盘，深圳华强发了个调研记录公告： 这个公告再次确认了产品全系列涨价，并且强调了公司是华为昇腾总经销，为国产AI产业提供芯片、模组等产品：7月6日，深圳华强（000062.SZ），发布投资者关系活动记录表。在交流环节中，投资者首先关注电子元器件行业涨价情况。公司表示，目前电子元器件产业景气度高企，是处于通胀期的产业之一，产业链各环节（包括原材料、设计、晶圆代工和封测等）的价格都在上涨，存储芯片、功率器件、模拟芯片、被动元器件等大部分元器件的价格也在上涨。价格上涨的原因包括AI算力基建带来的增量需求和对产能的虹吸效应，物料和生产成本的上涨，地缘政治冲突、逆全球化对供应链扰动的影响等。公司作为本土电子元器件分销龙头企业，位于产业不可或缺的中间环节，将从产业整体通胀中受益。一方面，行业景气度上行期，客户对元器件需求增加，会带动公司出货量的提升，元器件价格的上涨，则会进一步促进整体出货金额（即业务规模）增加；另一方面，量价齐升态势下，公司分销业务毛利率水平也有望同步提升。关于MLCC业务，公司透露其是村田全球主要授权分销商。近期公司观察到客户下单增加，开始拉货、主动补库存。对部分缺货的型号，公司优先满足大客户的采购需求。在华为计算部件总经销业务方面，公司是华为计算部件（含昇腾、鲲鹏）总经销商，将持续推进华为计算部件的技术和产品推广，积极协助华为建设算力生态。此外，公司近期设立了全资子公司深圳华强智算技术有限公司，并将该公司定位为AI算力综合服务商。未来该公司的主要发展方向是以华为计算部件（含昇腾和鲲鹏）业务为核心，联动各类合作伙伴，面向国内AI产业提供芯片、模组等各类产品，同步输出方案定制、技术服务、供应链配套等端到端能力，共建覆盖端、边、云的国产AI全栈生态。,土拨鼠,,2026-07-06 12:03:44,,,,,,,https://www.jiuyangongshe.com/a/1hrmk8y7va2,2026-07-06 04:09:46
jiuyan,,jtn9t3xubt,0705图表：众擎机器人、忆阻器、商业航天、机器人、“韬定律”等,"绝大数图表引用韭研公社【产业库】，更多图表可前往公社网站首页或APP工具栏【产业库】查看，欢迎点赞转发~【众擎机器人】图表2026年7月3日盘后，媒体曝深圳众擎机器人正冲刺港股IPO。 【忆阻器】图表2026年7月4讯，北京大学集成电路学院教授杨玉超团队联合中国科学院上海微系统与信息技术研究所研究员宋志棠团队，成功研制出全球首款基于相变忆阻器的神经动力学系统芯片。 【商业航天】图表2026年7月4日讯，“干帆星座”组网卫星成功发射卫星数量增至218颗。 其他信息【人形机器人】1）2026年7月5日，央媒报道，今年前5个月我国机器人出口近200亿元；6月22日盘后讯，我国拟制定标准推动人形机器人走进更多场景。2）2026年7月4日讯，特斯拉副总裁陶琳公开表态：Optimus2026年底正式启动规模化量产。【华为“韬定律”】2026年7月4日讯，何庭波7月3日发布韬定律V2版论文。有券商解读认为V2版把市场担心的集中做了解答——路标给了、数据给了、精度给了、光互联方案给了、制程路标也给了。381颗芯片6年验证，不是纸上谈兵。信心有望显著提振。【光通信产业】2026年7月3日盘后，杭电股份发布2026年半年度业绩预告，预计上半年净利润为3.60亿元至4.00亿元，同比增长幅度达到852%至958%，业绩大幅增长核心受益于光纤光缆行业景气度回暖，核心产品实现量价齐升。【TPU芯片】2026年7月3日盘后讯，中昊芯英将在世界人工智能大会上发布新一代TPU芯片。【锂资源】2026年7月5日讯，当地时间7月2日，美国国防部启动碳酸锂战略收储，五年拟采购1.62万吨。【存储芯片】2026年7月3日盘后，江波龙发布2026半年度业绩预告，26H1扣非净利预计90-105亿元，同比+27844%~32502%,其中26Q2扣非净利预计同比+2061%~2702%/环比+28%~66%。公司已与多家存储原厂签LTA协议。券商解读：后续将陆续进入海内外存储厂商二季度业绩披露期，AI需求仍将持续旺盛，存储作为半导体核心主线将长期持续，建议关注存储+设备+产业链三大核心环节；此外，周末，据韩媒报道，三星电子正在与客户进行强势谈判，希望将第三季度DRAM平均销售价格较上一季度最多上调20%。",题材图谱小集,,2026-07-05 21:49:13,,,,,,,https://www.jiuyangongshe.com/a/jtn9t3xubt,2026-07-06 04:09:48
jiuyan,,2gpksqwqwd6,电子布：7月景气再强化，供给卡点决定缺口持续性【中泰建材&化工|孙颖团队】,电子布：7月景气再强化，供给卡点决定缺口持续性【中泰建材&化工|孙颖团队】 [玫瑰]#7月布-CCL-PCB景气继续走强。#今日建滔发函FR-4涨15%，继6月中旬后再次涨价，涨幅及频率超预期。7月初E-glass厚布涨1.2元、薄布涨1.5元；富乔low-DK2报涨15%。6月PCB木林森、猎板等小厂报价上调。全链条齐涨，顺价逻辑得到验证，电子布价格锚点持续上移。 [玫瑰]#供给硬卡点决定缺口持续性，产业趋势确定。扩产受资金、建设周期、织布机获取、良率等多重瓶颈限制。织布机丰田扩产远水不解近渴（27年中初次扩产，运到国内至少半年），E-glass纱增速边际放缓；二代布良率仅50-60%；T布客户认证壁垒高、下游积极锁量。硬缺口+强需求，涨价持续性可以看更久。 [玫瑰]7月进入中报季，#电子布标的Q2业绩环增强劲，属于典型绩优方向。核心标的看明年PE合理且仍有空间，强卡位标的确定性更强。 #中国巨石：普通布弹性最大 （今年11-12亿米，明年14亿米），织布机储备行业领先，薄布占比持续提升（目前15%，明年底30%）。 #中材科技：电子布全能型选手，TG核心供应商，定增落地在即，3500万米扩产即将投产。 #国际复材：二代布出货量全行业第一，SY核心供应商，近期已开启涨价。 #宏和科技：T布卡位最稀缺，Q2多次涨价，年内T布产能有望跃升至全球龙一，远期扩产项目放量节奏提前。,宝盒2021,,2026-07-06 10:51:32,,,,,,,https://www.jiuyangongshe.com/a/2gpksqwqwd6,2026-07-06 04:09:50
jiuyan,,2z5k0hrccgw,韭研公社午盘涨停简图（07.06),公社出品，值得信赖，今日涨停简图如下，后续将每日实时更新。你经历的所有的困苦都是有意义的，因为这是你要承担重任的先兆。截至收盘，上证上涨0.08%，深证下跌0.36%，创业板下跌0.51%，以下是今日涨停复盘简析，详细版请查阅网站或APP异动解析。 与君共赏 春日京中有怀 杜审言〔唐代〕 今年游寓独游秦，愁思看春不当春。 上林苑里花徒发，细柳营前叶漫新。 公子南桥应尽兴，将军西第几留宾。寄语洛城风日道，明年春色倍还人。 译文今年外出游玩的时候，自己独自来到了长安，没有朋友同游心中带着春愁来看春天，没有了春天的感觉。 上林苑中的花白白地开放了，细柳营前的柳叶也徒有新芽。朋友们这时在南桥应该玩得正是尽兴，将军府里朋友们欢聚都不愿散去。 我在这里向着遥远的洛阳，对着春天的景物说，等我和朋友再相聚的时候明年的春天一定要加倍地还给我一个更美的春色啊！,异动特工小队,,2026-07-06 11:59:48,,,,,,,https://www.jiuyangongshe.com/a/2z5k0hrccgw,2026-07-06 04:09:52
jiuyan,,1hrmj5x56c7,AI、HPC及超大规模数据中心算力持续扩张，液冷服务器投资逻辑简析,随着英伟达Rubin全球首个100%全液冷AI算力基础设施落地，液冷已从“可选散热方案”升级为高端AI数据中心刚性标配，行业正式从主题炒作阶段，全面迈入订单与业绩集中兑现的高景气周期。同时，AI、HPC及超大规模数据中心算力持续扩张，推动机房热密度显著提升，传统风冷方案已难以适配高功率场景，液冷技术正成为高效散热的刚需选择。近日，A股液冷服务器板块异动明显，做多情绪升温。这并非短期资金偶然炒作，而是AI算力爆发、散热刚需转向、英伟达技术路线定调三重因素叠加的必然结果。一、行业拐点：AI算力彻底击穿风冷天花板 过去十年数据中心散热长期以风冷为主流，但其散热极限仅为15kW，完全无法适配当前AI单芯片功耗破千瓦、单机柜热密度超30kW的高密度算力场景。英伟达6月22日发布的Rubin全液冷AI算力基础设施，直接宣告风冷在高端AI数据中心退场。这套方案是全球首个100%全液冷AI算力基础设施，已纳入DSX AI工厂官方参考设计，摒弃散热风扇采用闭环液冷循环，冷却液最高运行温度达45℃，实现零水资源消耗，仅极端气候下1%的时间需辅助制冷，绝大多数场景靠自然散热即可稳定运行。从成本端测算，冷水机组供水温度每升1℃，制冷成本下降4%。以50兆瓦算力园区为例，切换Rubin方案后年水电综合节约成本超400万美元，长期运营优势碾压风冷。同时液冷可直接回收芯片余热用于供暖，实现能源二次利用，还能将同等算力所需机架数量压缩至风冷的三分之一，机房噪音大幅降低，从能耗、占地、运维多维度重新划定高端AI数据中心的散热能效标准。二、产业共识：机构集体确认液冷高景气 近期多家头部券商密集发布研报，全行业高景气共识彻底形成：光大证券明确行业拐点已至，高功率AI算力彻底淘汰传统风冷，液冷成为刚需选择；中信证券指出行业从主题预期进入订单兑现阶段，代工链短期弹性最大，自主品牌长期成长性最强，光模块液冷等新品类率先放量；东方证券认为英伟达Rubin方案大幅提升板块确定性，国内产业链2026年下半年将加速业绩兑现；国联民生证券测算Rubin平台量产将实现液冷100%全覆盖，国内温控企业依托制造优势切入全球供应链；国盛证券判断液冷需求进入快速释放期，行业迎来量利齐升的1-N规模化扩张黄金窗口。三、核心投资主线：三大维度筛选优质标的 液冷赛道投资机会清晰划分为三条主线，不同标的业绩兑现节奏差异化明确： 1、核心零部件环节是当前需求最刚性、兑现最快的赛道。液冷泵作为系统核心动力部件，价值量占比最高，大元泵业作为国内民用液冷泵龙头已进入头部厂商供应链，飞龙股份深度绑定国内头部服务器厂商订单弹性突出，同飞股份在液冷温控核心部件领域技术积累深厚，已实现批量供货。 2、液冷温控系统解决方案提供商长期成长空间最大。英维克是国内温控行业绝对龙头，拥有完整液冷方案深度服务头部云厂商，冰轮环境在工业制冷与系统集成领域积累深厚，余热回收场景优势独特。 3、代工链与横向新品类标的具备短期弹性。腾龙股份承接国际龙头外溢组装订单，短期业绩兑现速度快，光模块液冷、液冷配电系统等新品类切入门槛低、客户覆盖广，有望率先实现批量放量。四、长期逻辑：液冷黄金十年刚刚开启 当前国内AI数据中心液冷渗透率不足20%，随着Rubin方案成为行业参考标准，叠加国内超大规模智算中心集中建设，预计未来3年渗透率将快速提升至50%以上，行业市场规模从百亿级别突破千亿。国内液冷产业链依托强大精密制造能力，核心环节已实现深度技术积累，完全具备自主可控能力，将同时享受国内算力基建红利与全球供应链替代机会。2026年下半年将成为行业业绩兑现高峰期，前期验证订单集中交付，相关标的营收与毛利率同步抬升。中长期液冷技术还将向HPC超算、车载算力、储能温控等场景延伸，成长空间进一步打开。英伟达Rubin全液冷方案的落地，不是液冷赛道行情的终点，而是整个行业黄金时代的起点。在AI算力持续爆发的背景下，液冷兼具需求刚性、国产替代、业绩兑现三大核心逻辑，是当前AI产业链中确定性最强的投资赛道之一。注：以上内容来自网络，未经核实，不构成任何投资建议，请谨慎参考！如有侵权，请私信联系删除！欢迎各位老师点赞、评论、转发，谢谢！㊗️各位老师发大财、股市长虹！,Vin7的大,,2026-07-06 11:35:43,,,,,,,https://www.jiuyangongshe.com/a/1hrmj5x56c7,2026-07-06 04:09:55
jiuyan,,1hrmhs4f62z,至纯科技-国内唯一实现 7N 级低硫高纯红磷稳定量产的厂商,7N 级即纯度达99.99999%，总杂质含量低于 100ppb；低硫特指硫杂质控制在 100ppb 以内，是电子级红磷的顶级规格，也是高端化合物半导体制造的关键 “卡脖子” 材料，此前长期被日本 RASA 等厂商独家垄断。 至纯科技通过 参股贵州威顿晶磷电子材料股份有限公司（持股 13.65%，第二大股东）** 间接布局半导体级高纯磷材料赛道，同时依托自身高纯工艺系统能力为标的提供产线配套，形成 “设备 + 材料” 协同。一、布局沿革与股权现状 2020 年至纯科技通过 A 轮融资战略入股威顿晶磷，后续追加投资后最高持股约 28.3%；2023 年威顿晶磷启动 IPO 辅导期间，至纯分两次转让合计约 12.1% 股份，持股比例降至 14.81%，后续经股权稀释至当前 13.65%。 2025 年 2 月公司曾筹划以发行股份 + 支付现金方式收购威顿晶磷 83.78% 控股权，同年 10 月因交易关键条款未达成一致、市场环境变化正式终止，目前仅保留战略参股地位。 二、标的红磷业务核心情况威顿晶磷是国内唯一实现 7N 级低硫高纯红磷稳定量产的厂商，产品全面对标日本 RASA 等国际垄断供应商，具体参数与落地情况如下： 纯度与技术：7N 红磷纯度达 99.99999%，金属杂质低于 10ppb，硫杂质控制在 100ppb 以内，满足 SEMI 国际半导体标准，可直接适配 6 英寸磷化铟（InP）单晶长晶工艺，解决了国产红磷杂质超标导致单晶位错率高的行业痛点。 产能规模：现有 7N 高纯红磷量产产能 35 吨 / 年，当前产能已全部被下游头部长协订单锁定；在建 5000 吨高纯电子化学品扩产项目中包含红磷产能扩建，远期规划总产能达 100 吨 / 年。 下游应用与客户：核心用于磷化铟、磷化镓衬底制造，是 800G/1.6T 高速光模块、CPO 光芯片的上游核心原料，主要客户包括云南锗业鑫耀、通美晶体及华为光芯片产业链，产品已出口德国替代日系货源。 同步配套量产 7N 级三氯氧磷，用于 12 英寸晶圆 N 型磷掺杂工艺，覆盖中芯国际、华虹、长江存储、长鑫存储等头部晶圆厂。 三、至纯科技的协同与受益逻辑不同于普通财务投资，至纯科技与威顿晶磷存在深度产业绑定： 技术与产线协同：威顿晶磷的多级超净提纯产线、惰性气体保护密闭输送系统、颗粒精度控制方案均由至纯科技配套交付，二者在超高纯物料提纯、杂质管控领域技术底层同源，构成差异化竞争壁垒。 客户渠道联动：依托至纯科技在晶圆厂、化合物半导体领域的客户积累，加速威顿产品的下游验证与导入，缩短客户拓展周期。 全行业设备增量：高纯红磷国产替代浪潮下，国内磷化工、半导体材料企业纷纷新建 / 技改高纯红磷产线，均需采购高纯精馏、超净过滤、洁净输送成套设备，至纯作为核心设备供应商可全行业受益。,你真可爱呀,,2026-07-06 11:25:17,,,,,,,https://www.jiuyangongshe.com/a/1hrmhs4f62z,2026-07-06 04:09:57
